method,node,alpha,eps,runtime,Opertion
appr,996,0.06309573444801933,1e-08,11.770441132597625,41892026
appr,797,0.025118864315095808,1e-08,37.678147471509874,223531388
aesplocgd,962,0.1,1e-08,4.231334558688104,23384503
aespappr,198,0.06309573444801933,1e-08,3.1421079225838184,17942324
locgd,804,0.039810717055349734,1e-08,9.500428633764386,60512554
aespappr,380,0.002511886431509582,1e-08,68.66723358538002,347253827
aesplocgd,84,0.1,1e-08,2.794303009286523,14828379
aespappr,100,0.001,1e-08,222.1981923058629,569690450
aesplocgd,934,0.001,1e-08,64.25653621274978,578018185
aesplocgd,567,0.001,1e-08,84.83134539518505,585216145
locgd,198,0.001584893192461114,1e-08,237.32082301564515,2769470005
aespappr,969,0.1,1e-08,2.108178165741265,15460979
appr,216,0.01,1e-08,92.48887529689819,622101533
aespappr,384,0.006309573444801936,1e-08,59.702776920981705,184097208
appr,421,0.06309573444801933,1e-08,7.552394991740584,43805834
aesplocgd,101,0.01,1e-08,28.25013166014105,164013684
locgd,44,0.006309573444801936,1e-08,120.329476329498,674063111
locgd,785,0.025118864315095808,1e-08,23.133385960012674,149274503
aespappr,804,0.003981071705534978,1e-08,60.15182963386178,251392805
aesplocgd,362,0.01584893192461114,1e-08,21.993740814737976,122372105
aesplocgd,804,0.002511886431509582,1e-08,65.62801527883857,355724888
locgd,943,0.01584893192461114,1e-08,53.95403774920851,257490062
appr,67,0.001584893192461114,1e-08,691.7991271587089,4087518282
aesplocgd,31,0.001,1e-08,68.24579793866724,568085193
appr,934,0.001,1e-08,971.8635527603328,6497495550
aesplocgd,384,0.01,1e-08,25.978589511476457,146861563
aesplocgd,962,0.06309573444801933,1e-08,7.351667788811028,40962813
aesplocgd,68,0.1,1e-08,2.902582813054323,15333714
locgd,489,0.039810717055349734,1e-08,8.381966888904572,50856585
appr,571,0.01,1e-08,145.96912137698382,590948711
aesplocgd,410,0.01584893192461114,1e-08,24.567152467556298,103039400
aesplocgd,800,0.01584893192461114,1e-08,27.028881915844977,121470544
appr,384,0.003981071705534978,1e-08,419.60051687434316,1608488514
aesplocgd,785,0.001,1e-08,129.69302366580814,582838178
appr,522,0.002511886431509582,1e-08,506.60922141745687,2573801858
locgd,31,0.003981071705534978,1e-08,90.53093685954809,1078888688
aespappr,788,0.025118864315095808,1e-08,14.916587599553168,76445198
appr,198,0.025118864315095808,1e-08,41.67063596099615,211189832
locgd,725,0.002511886431509582,1e-08,254.3252847129479,1740380146
aesplocgd,471,0.1,1e-08,2.176051262766123,19997124
appr,788,0.002511886431509582,1e-08,487.56982355285436,2579946142
aespappr,50,0.002511886431509582,1e-08,84.32654176559299,346134396
locgd,44,0.06309573444801933,1e-08,3.504296015948057,25854315
locgd,391,0.06309573444801933,1e-08,8.73757604509592,41311661
appr,380,0.01584893192461114,1e-08,91.58160995785147,394670330
appr,121,0.06309573444801933,1e-08,10.390448226593435,65957325
appr,27,0.01584893192461114,1e-08,73.38841139990836,393497526
aespappr,532,0.06309573444801933,1e-08,8.692674105986953,32477651
aesplocgd,421,0.1,1e-08,2.188406178727746,10829006
locgd,101,0.01584893192461114,1e-08,68.8025766145438,260938451
aespappr,800,0.1,1e-08,3.4910917226225138,19018475
locgd,84,0.01,1e-08,68.62792780436575,420016052
aespappr,421,0.01584893192461114,1e-08,15.28737317584455,101014955
aespappr,800,0.006309573444801936,1e-08,42.62244512233883,200578678
appr,969,0.001584893192461114,1e-08,853.1246187482029,4100061897
appr,44,0.039810717055349734,1e-08,25.246689778752625,110177945
aesplocgd,407,0.039810717055349734,1e-08,12.489546823315322,58158965
locgd,969,0.01,1e-08,105.10055987164378,424330616
locgd,391,0.001584893192461114,1e-08,599.4020901126787,2780086176
locgd,609,0.039810717055349734,1e-08,13.553260301239789,89743993
aesplocgd,84,0.001584893192461114,1e-08,57.374665236100554,461191767
aesplocgd,121,0.06309573444801933,1e-08,5.43267041631043,36359581
locgd,384,0.1,1e-08,1.3154289238154888,6696297
appr,101,0.001,1e-08,1706.67855142802,6516549848
aespappr,583,0.039810717055349734,1e-08,14.32517558336258,54903524
appr,233,0.01,1e-08,101.03667780570686,629200579
aespappr,121,0.06309573444801933,1e-08,5.607490188442171,28601032
locgd,50,0.006309573444801936,1e-08,89.05441407393664,679978621
aesplocgd,407,0.01,1e-08,24.11434368789196,164941657
aespappr,661,0.01584893192461114,1e-08,25.193303590640426,114832874
appr,800,0.001,1e-08,1189.284604165703,6517969106
locgd,421,0.06309573444801933,1e-08,7.467101181857288,27503465
aespappr,489,0.1,1e-08,0.6110195266082883,5211669
aesplocgd,407,0.1,1e-08,4.682586356066167,20501476
locgd,489,0.003981071705534978,1e-08,219.09793610870838,1080586924
locgd,471,0.039810717055349734,1e-08,15.437671116553247,84867737
appr,193,0.01,1e-08,117.2529498655349,629517745
appr,489,0.039810717055349734,1e-08,24.07479453738779,82067834
appr,28,0.06309573444801933,1e-08,8.08148070704192,69178649
appr,804,0.006309573444801936,1e-08,187.30953699816018,999302612
aesplocgd,391,0.01584893192461114,1e-08,17.161486046388745,119064946
aespappr,233,0.039810717055349734,1e-08,14.638004118576646,50778574
locgd,541,0.039810717055349734,1e-08,11.512540517374873,71673458
aesplocgd,216,0.006309573444801936,1e-08,26.038232355378568,213044471
